,"SegmentID","OldID","Longitude","Latitude","District","Upazila","RefLevel","ParaHeight","StartYear","EndYear"
1359,"PA-A-6","PA-A-6",89.64,24.45,"Sirajganj","Sirajganj Sadar",14.39,0.35,1995,2008
1360,"PT009_1","PT009",90.27,22.13,"Barguna","Amtali",2.7,0.46,2005,2018
1361,"PA011_1","PA011",89.39,24.38,"Sirajganj","Tarash",12.3,0.45,2005,2018
1362,"RA-83_0","RA-83",89.07,25.71,"Rangpur","Badarganj",36.55,0.43,1980,1993
1363,"KT014_0","KT014",88.94,23.97,"Kushtia","Daulatpur",16.92,0.46,1976,1989
1364,"PA031_0","PA031",89.04,24.12,"Pabna","Ishwardi",16.32,0.45,1973,1987
1365,"BA024_1_1","BA024",90.79,22.31,"Bhola","Lalmohan",2.67,0.46,1980,1994
1366,"RJ027_2","RJ027",88.49,24.64,"Rajshahi","Tanore",22.8,0.45,1984,1998
1367,"RJ027_1","RJ027",88.49,24.64,"Rajshahi","Tanore",22.8,0.45,1965,1979
1368,"MY025_0","MY025",90.41,24.61,"Mymensingh","Trishal",14.23,0.46,1971,1984
1369,"KT042_1_0","KT042",89.29,23.88,"Kushtia","Kumarkhali",12.67,0.46,1979,1993
1370,"KT007_1_0","KT007",88.68,23.82,"Meherpur","Meherpur Sadar",15.92,0.4,1967,1980
1371,"RJ098_2","RJ098",88.78,24.33,"Rajshahi","Charghat",18.56,0.45,2005,2018
1372,"KT052_1","KT052",88.94,23.82,"Kushtia","Mirpur",17.14,0.52,1981,1994
1373,"PA013_2","PA013",89.74,24.36,"Sirajganj","Belkuchi",10.9,0.45,2005,2018
1374,"RJ004_0","RJ004",88.56,25.15,"Naogaon","Sapahar",23.11,0.3,1965,1978
1375,"RAJ-A-3","RAJ-A-3",88.57,24.79,"Naogaon","Niamatpur",31.2,0.45,1995,2008
1376,"RJ053_2","RJ053",88.87,25.07,"Naogaon","Dhamoirhat",24.24,0.45,2005,2018
1377,"RJ122_2","RJ122",88.35,24.76,"Nawabganj","Nachole",39,0.45,2005,2018
1378,"SY034_1_2","SY034",92.13,24.44,"Maulvibazar","Kulaura",17.57,0.28,1988,2001
1379,"CT025_2","CT025",91.93,22.03,"Chittagong","Banshkhali",4.8,0.76,1993,2006
1380,"PAS06_2","PAS06",89.04,24.07,"Pabna","Ishwardi",15.01,0.35,1994,2007
1381,"DH088_1","DH088",90.13,23.68,"Dhaka","Nawabganj",5.93,0.56,1976,1989
1382,"RA-30_0","RA-30",89.1,25.87,"Nilphamari","Kishoreganj",45.75,0.67,1980,1993
1383,"DH108_0","DH108",90.37,23.75,"Dhaka","Mohammadpur",7.59,0.46,1977,1991
1384,"PAS03_2","PAS03",89.13,24.05,"Pabna","Ishwardi",14.52,0.32,1994,2007
1385,"JES007_1","JES007",88.92,23.44,"Magura","Mohammadpur",7.82,0.3,1999,2012
1386,"SY077_1","SY077",91.37,24.01,"Habiganj","Madhabpur",16.49,0.4,1994,2007
1387,"SY037_1","SY037",92.04,24.6,"Maulvibazar","Kulaura",16.01,0.61,1985,1998
1388,"DH088_2","DH088",90.13,23.68,"Dhaka","Nawabganj",5.93,0.56,1994,2007
1389,"MY054_2","MY054",90.86,25.14,"Netrakona","Kalmakanda",14,0.46,2005,2019
1390,"PA050_3","PA050",89.64,24.64,"Sirajganj","Kazipur",15.21,0.6,2004,2017
1391,"DI054_1","DI054",88.68,25.52,"Dinajpur","Dinajpursadar",43.38,0.39,1967,1980
1392,"RJS14_1","RJS14",88.173,24.68,"Nawabganj","Shibganj",24.25,0.5,1984,1997
1393,"DH087_2","DH087",90.34,23.69,"Dhaka","Keraniganj",8.78,0.46,2002,2015
1394,"CT025_1","CT025",91.93,22.03,"Chittagong","Banshkhali",4.8,0.76,1977,1990
1395,"SY054_2_0","SY054",91.77,24.44,"Maulvibazar","Maulvi Bazar Sadar",7.14,0.61,1992,2005
1396,"NA006_2","NA006",91.07,22.95,"Noakhali","Begumganj",4.28,0.46,2006,2018
1397,"TA033_0_0","TA033",90.23,24.25,"Tangail","Sakhipur",16,0.46,1980,1993
1398,"PA018_0","PA018",89.33,24.11,"Pabna","Atgharia",13.52,0.45,1973,1985
1399,"NA017","NA017",91.46,23.08,"Feni","Parshuram",7.65,0.61,1997,2009
1400,"SY082_1_1","SY082",91.76,24.74,"Sylhet","Balaganj",10.47,0.3,1999,2012
1401,"NA014_2","NA014",90.96,22.63,"Lakshmipur","Ramgati",5.45,0.38,1992,2005
1402,"RA-26_2_1","RA-26",89.18,26.03,"Lalmonirhat","Kaliganj",37.65,0.56,1996,2009
1403,"CH012","CH012",91.92,22.53,"Chittagong","Raozan",9.08,0.51,2006,2018
1404,"FAR-A-11","FAR-A-11",89.825,23.6,"Faridpur","Goalchamat",8.88,0.76,1996,2008
1405,"JE035_1","JE035",89.39,23.29,"Magura","Shalikha",7.5,0.46,2005,2018
1406,"CT053_2","CT053",92.24,20.96,"Cox'Sbazar","Teknaf",4.21,0.46,1992,2005
1407,"SY054_2_1","SY054",91.77,24.44,"Maulvibazar","Maulvi Bazar Sadar",7.14,0.61,2006,2018
1408,"SY001_1","SY001",91.41,24.17,"Habiganj","Madhabpur",8.79,0.46,2006,2018
1409,"DA-A-13","DA-A-13",90.39,23.73,"Dhaka","Lalbagh",8.57,0.61,1996,2008
1410,"CH010_2_2","CH010",92.24,22.24,"Bandarban","Bandarban Sadar",14.79,0.46,2005,2018
1411,"BA030_2","BA030",90.01,22.45,"Pirojpur","Bhandaria",2.62,0.46,2006,2019
1412,"MYM-A-16","MYM-A-16",90.47,24.84,"Mymensingh","Mymensingh Sadar",13.78,0.76,1996,2008
1413,"MY066_1","MY066",90.98,24.35,"Kishoreganj","Nikli",7,0.46,1976,1988
1414,"DH116_0","DH116",90.34,24.09,"Gazipur","Kaliakair",9,0.76,1979,1991
1415,"KH008_0","KH008",89.25,22.75,"Satkhira","Tala",3.61,0.46,1973,1985
1416,"RJ070_1_1","RJ070",88.88,24.38,"Rajshahi","Puthia",18.49,0.7,1993,2005
1417,"SY028_1_1","SY028",91.83,24.32,"Maulvibazar","Kamalganj",16.39,0.57,1985,1998
1418,"CT019_1","CT019",92.17,21.06,"Cox'Sbazar","Teknaf",4.79,0.61,1975,1987
1419,"NA028_2","NA028",91.14,22.85,"Noakhali","Noakhali Sadar (Sudharam)",4.37,0.61,2006,2018
1420,"BA004_2","BA004",90.64,22.67,"Bhola","Bholasadar",2.83,0.46,2006,2019
1421,"PA017_1","PA017",89.66,24.69,"Sirajganj","Kazipur",16.23,0.45,1967,1979
1422,"CM057_0","CM057",90.78,23.39,"Chandpur","Matlab",6.98,0.61,1978,1990
1423,"JE015_0","JE015",89.4,23.51,"Magura","Magura Sadar",9.97,0.46,1975,1987
1424,"RJ004_1","RJ004",88.56,25.15,"Naogaon","Sapahar",23.11,0.3,1979,1991
1425,"CM059_2","CM059",91.26,24.17,"Brahamanbaria","Nasirnagar",8.71,0.46,2006,2018
1426,"BA015_0","BA015",89.98,22.64,"Pirojpur","Pirojpursadar",1.98,0.43,1977,1989
1427,"BA020_2","BA020",90.71,22.32,"Bhola","Lalmohan",3.19,0.53,1991,2003
1428,"KT051_1","KT051",89.34,23.82,"Kushtia","Khoksa",12.62,0.46,1980,1992
1429,"SY107","SY107",91.26,24.27,"Habiganj","Lakhai",6.95,0.46,1998,2010
1430,"RJ140_2","RJ140",88.97,24.97,"Naogaon","Badalgachhi",20.89,0.45,2006,2018
1431,"RJ131_2","RJ131",88.98,24.18,"Natore","Lalpur",16.2,0.45,2006,2018
1432,"KT-A-8","KT-A-8",88.63,23.76,"Meherpur","Meherpur Sadar",15.94,0.55,1996,2008
1433,"TA011","TA011",90.09,24.09,"Tangail","Mirzapur",10,0.46,2006,2018
1434,"CT006_1_0","CT006",91.78,22.35,"Chittagong","Kotwali",4.6,0.71,1970,1982
1435,"RJS11_1_0","RJS11",88.22,24.8,"Nawabganj","Shibganj",30.16,0.45,1984,1996
1436,"BO036_0","BO036",89.03,24.95,"Joypurhat","Akkelpur",18.2,0.3,1998,2010
1437,"TA032_0","TA032",90.07,24.43,"Tangail","Ghatail",27,0.61,1979,1991
1438,"DI006_2_0","DI006",88.61,26.37,"Panchagarh","Panchagarh Sadar",70.58,0.67,1993,2005
1439,"DI072_1","DI072",88.51,25.97,"Thakurgaon","Thakurgaon Sadar",52.47,0.85,1977,1989
1440,"JE011_0","JE011",89.52,23.08,"Narail","Narailsadar",5.99,0.46,1975,1987
1441,"SY102_1_1","SY102",91.21,25.13,"Sunamganj","Tahirpur",7.82,0.61,1994,2006
1442,"KHCP03_0","KHCP03",89.051,22.464,"Satkhira","Kaliganj",3.61,0.46,1979,1991
1443,"DH124_2_0","DH124",90.37,23.74,"Dhaka","Dhanmondi",16,0.46,2000,2012
1444,"DH059_0","DH059",90.74,24.2,"Narsingdi","Manohardi",8.74,0.61,1974,1986
1445,"SY081_1_0","SY081",91.7,24.57,"Maulvibazar","Maulvi Bazar Sadar",13,0.6,1976,1988
1446,"PA039_0","PA039",89.64,23.92,"Pabna","Bera",10.75,0.38,1977,1989
1447,"SY024_2","SY024",91.65,24.37,"Maulvibazar","Sreemangal",13.72,0.46,2006,2018
1448,"RJ134_2","RJ134",88.8,24.62,"Rajshahi","Baghmara",17.1,0.45,2005,2017
1449,"KT033_1","KT033",88.87,24.04,"Kushtia","Daulatpur",17.58,0.46,1976,1988
1450,"RJ059_5","RJ059",88.54,24.93,"Naogaon","Niamatpur",22.72,0.21,2005,2017
1451,"CT030_1","CT030",92.08,21.39,"Cox'Sbazar","Ramu",5.62,0.61,1976,1988
1452,"KT034_1_0","KT034",89.28,23.94,"Kushtia","Kumarkhali",14.54,0.46,1977,1988
1453,"DH093","DH093",89.818,23.94,"Manikganj","Daulatpur",11.49,0.41,2007,2019
1454,"KH009_0","KH009",89.1,22.73,"Satkhira","Satkhira Sadar",3.7,0.46,1973,1984
1455,"RJ073_2","RJ073",88.3,24.73,"Nawabganj","Nachole",39.3,0.61,1986,1998
1456,"KT052_3","KT052",88.94,23.82,"Kushtia","Mirpur",17.14,0.52,2004,2015
1457,"DA-A-12","DA-A-12",90.536,23.81,"Dhaka","Gulsan",6.83,0.31,1997,2008
1458,"SY031_2","SY031",91.99,24.4,"Maulvibazar","Kulaura",27,0.23,2007,2019
1459,"KHCP04","KHCP04",89.65,22.558,"Bagerhat","Rampal",2.36,0.66,1979,1990
1460,"PA028_1","PA028",89.34,24.31,"Pabna","Chatmohar",4.18,0.45,2007,2018
1461,"SY001_0","SY001",91.41,24.17,"Habiganj","Madhabpur",8.79,0.46,1994,2005
1462,"MY051_0","MY051",91.03,24.82,"Netrakona","Mohanganj",9.32,0.46,1975,1987
1463,"SY033_1","SY033",92.1,24.5,"Maulvibazar","Kulaura",32.7,0.31,1987,1998
1464,"RJS23_1_0","RJS23",88.51,25.19,"Naogaon","Sapahar",29.44,0.45,1984,1996
1465,"BO034_0","BO034",89.12,25.12,"Joypurhat","Joypurhat Sadar",22.46,0.4,1980,1991
1466,"MY054_0","MY054",90.86,25.14,"Netrakona","Kalmakanda",14,0.46,1975,1987
1467,"BO026_0","BO026",89.57,24.94,"Bogra","Sariakandi",17.6,0.45,1979,1990
1468,"CT049_0","CT049",92.09,22.44,"Chittagong","Rangunia",12,0.46,1980,1991
1469,"RJ139_1","RJ139",89.2,24.53,"Natore","Singra",13.42,0.46,2007,2018
1470,"RJS23_1_1","RJS23",88.51,25.19,"Naogaon","Sapahar",29.44,0.45,1996,2007
1471,"CT048_2_1","CT048",91.69,22.52,"Chittagong","Sitakunda",4.56,0.51,2002,2013
1472,"SY097_1","SY097",91.21,24.94,"Sunamganj","Jamalganj",8,0.53,1977,1988
1473,"SY026_2","SY026",91.54,24.22,"Habiganj","Chunarughat",19.21,0.38,2007,2018
1474,"RA-58_1","RA-58",89.53,25.16,"Gaibandha","Saghatta",18.98,0.76,1977,1988
1475,"SY068_2_0","SY068",91.77,24.54,"Maulvibazar","Maulvi Bazar Sadar",11.59,0.61,1975,1986
1476,"CH005_1","CH005",92.114,22.622,"Rangamati","Rangamati Sadar",33.82,0.46,1985,1996
1477,"RJ142_0","RJ142",88.76,25.07,"Naogaon","Patnitala",17.01,0.4,1980,1991
1478,"MY045_1_0","MY045",90.55,24.64,"Mymensingh","Ishwarganj",11.28,0.46,1975,1986
1479,"JE023_0","JE023",89.15,23.39,"Jhenaidah","Kaliganj",7.93,0.46,1976,1987
1480,"BO019_0","BO019",89.36,24.79,"Bogra","Bogra Sadar",19,0.35,1977,1988
1481,"SY085_1","SY085",91.83,24.88,"Sylhet","Kotwali",8.46,0.51,1976,1987
1482,"CT048_2_0","CT048",91.69,22.52,"Chittagong","Sitakunda",4.56,0.51,1991,2002
1483,"CT006_1_1","CT006",91.78,22.35,"Chittagong","Kotwali",4.6,0.71,1982,1993
1484,"DI046_2_0","DI046",88.56,25.85,"Dinajpur","Kaharole",45.08,0.46,1975,1986
1485,"RJS11_1_1","RJS11",88.22,24.8,"Nawabganj","Shibganj",30.16,0.45,1996,2007
1486,"MY033_1","MY033",90.84,25.08,"Netrakona","Kalmakanda",9,0.46,1971,1981
1487,"DH091_2","DH091",89.92,23.76,"Manikganj","Harirampur",9.13,0.44,2005,2016
1488,"MY064_0","MY064",90.74,24.54,"Mymensingh","Nandail",10.75,0.46,1976,1987
1489,"SY014_2","SY014",91.6,24.33,"Habiganj","Bahubal",16.24,0.56,2008,2018
1490,"KT020_0","KT020",88.79,23.98,"Kushtia","Daulatpur",17.85,0.46,1976,1986
1491,"KH022_1","KH022",89.82,22.93,"Bagerhat","Mollahat",3.84,0.53,1980,1990
1492,"FS11_0","FS11",90.28,23.35,"Shariatpur","Zanjira",8,0.46,1979,1989
1493,"PT009_0","PT009",90.27,22.13,"Barguna","Amtali",2.7,0.46,1994,2004
1494,"DH103S_0","DH103S",88.659,23.68,"Dhaka","Motijheel",7.45,0.5,1978,1988
1495,"PA007_1","PA007",89.09,24.14,"Pabna","Ishwardi",14.45,0.45,2008,2018
1496,"KHS03_2","KHS03",89.41,22.84,"Khulna","Khulna Sadar",3.63,0.45,1991,2001
1497,"TA031_1","TA031",90.08,24.39,"Tangail","Kalihati",20.9,0.61,1979,1990
1498,"BA022_1_1","BA022",90.76,22.32,"Bhola","Lalmohan",2.58,0.46,1984,1994
1499,"CT019_2_2","CT019",92.17,21.06,"Cox'Sbazar","Teknaf",4.79,0.61,1997,2008
1500,"SY025_2","SY025",91.75,24.18,"Maulvibazar","Sreemangal",10.7,0.46,2008,2019
1501,"CM035_2","CM035",91.19,24.2,"Brahamanbaria","Nasirnagar",9.45,0.31,2008,2018
1502,"BA007_2","BA007",90.19,22.63,"Jhalokati","Jhalokati Sadar",2.09,0.41,2003,2013
1503,"KH001_1","KH001",89.49,22.6,"Khulna","Dacope",3.51,0.46,1986,1996
1504,"MY055_0","MY055",90.22,24.73,"Mymensingh","Muktagachha",13.94,0.46,1975,1986
1505,"CH002_1","CH002",92.24,21.85,"Bandarban","Lama",13.83,0.46,1976,1986
1506,"SY012_2","SY012",91.66,24.33,"Maulvibazar","Sreemangal",12,0.3,2008,2018
1507,"DH073_0","DH073",90.31,23.87,"Dhaka","Savar",9.67,0.46,1975,1985
1508,"JE050_1","JE050",89.3,23.71,"Jhenaidah","Shailkupa",11.62,0.46,1979,1989
1509,"KT023_1_0","KT023",88.88,23.78,"Chuadanga","Alamdanga",19.91,0.46,1976,1986
1510,"MY039_1","MY039",91.04,24.67,"Netrakona","Madan",7,0.53,1975,1985
1511,"CH010_2_1","CH010",92.24,22.24,"Bandarban","Bandarban Sadar",14.79,0.46,1995,2005
1512,"DH104_2","DH104",90.67,23.96,"Narsingdi","Palash",7.84,0.61,2009,2019
1513,"SY099_1","SY099",91.57,24.39,"Habiganj","Bahubal",19.33,0.48,1977,1987
1514,"MY047_2","MY047",90.91,25.04,"Netrakona","Kalmakanda",9.1,0.46,2008,2018
1515,"CT016_2","CT016",91.59,22.79,"Chittagong","Mirsharai",9.08,0.46,1992,2002
1516,"SY086_2","SY086",92.01,24.86,"Sylhet","Golabganj",16.02,0.38,1988,1998
1517,"CT020_0","CT020",91.7,22.86,"Chittagong","Fatikchhari",26.48,0.46,1976,1986
1518,"RJ075_0","RJ075",88.27,24.85,"Nawabganj","Gomastapur",23.26,0.45,1966,1976
1519,"KT004_1_0","KT004",89.3,23.81,"Kushtia","Khoksa",12.63,0.34,1967,1977
1520,"MY056_0","MY056",90.46,24.58,"Mymensingh","Trishal",14.06,0.46,1976,1986
1521,"SY050_1_2","SY050",92.23,24.84,"Sylhet","Beanibazar",12.2,0.46,2005,2014
1522,"CT027_2","CT027",92.11,22.5,"Chittagong","Rangunia",6.38,0.61,1991,2001
1523,"JE049_1","JE049",89.1,23.36,"Jhenaidah","Kaliganj",10.47,0.46,2009,2018
1524,"PAS03_1","PAS03",89.13,24.05,"Pabna","Ishwardi",14.52,0.32,1977,1986
1525,"CT027_1","CT027",92.11,22.5,"Chittagong","Rangunia",6.38,0.61,1976,1986
1526,"BO027_0","BO027",89.45,24.66,"Bogra","Sherpur",15.91,0.45,1979,1988
1527,"KH018_1","KH018",89.31,22.58,"Khulna","Paikgachha",2.42,0.46,1979,1989
1528,"RA-79_0","RA-79",88.87,26.17,"Nilphamari","Domar",56.8,0.38,1980,1989
1529,"SY061_2_0","SY061",92.16,25.08,"Sylhet","Jaintiapur",8.1,0.61,1975,1984
1530,"DH071_1","DH071",90.42,23.93,"Gazipur","Gazipur Sadar",8.27,0.46,2009,2019
1531,"PAS06_1","PAS06",89.04,24.07,"Pabna","Ishwardi",15.01,0.35,1978,1987
1532,"BO020_0","BO020",89.6,24.89,"Bogra","Sariakandi",15.75,0.45,1978,1987
1533,"DH104_1","DH104",90.67,23.96,"Narsingdi","Palash",7.84,0.61,1999,2008
1534,"DH122_1","DH122",90.28,24.13,"Gazipur","Kaliakair",16.09,0.45,1997,2007
1535,"NA023_2","NA023",91.52,22.98,"Feni","Chhagalnaiya",6.66,0.61,2009,2018
1536,"FA042_0","FA042",89.51,23.64,"Rajbari","Baliakandi",10,0.62,1980,1989
1537,"NA014_1","NA014",90.96,22.63,"Lakshmipur","Ramgati",5.45,0.38,1977,1986
1538,"RJ109_1","RJ109",88.27,24.59,"Nawabganj","Nawabganj Sadar",22,0.35,2009,2018
1539,"RJ078_1","RJ078",88.22,24.68,"Nawabganj","Shibganj",23.57,0.3,1999,2009
1540,"DH084_1","DH084",90.54,23.51,"Munshiganj","Munshiganj Sadar",7,0.31,1977,1986
1541,"KH011_2","KH011",89.68,22.95,"Khulna","Terokhada",4.46,0.6,2000,2009
1542,"CT022_1","CT022",91.91,22.5,"Chittagong","Raozan",8.05,0.91,1994,2004
1543,"BA016_2","BA016",90.12,22.72,"Pirojpur","Nesarabad (Swarupkati)",2.11,0.58,2009,2018
1544,"CT022_2","CT022",91.91,22.5,"Chittagong","Raozan",8.05,0.91,2006,2015
1545,"DH097_0","DH097",90.64,23.51,"Munshiganj","Gazaria",1,0.46,1978,1987
1546,"CT031_0","CT031",92.22,21.02,"Cox'Sbazar","Teknaf",7.92,0.61,1976,1985
1547,"RJ078_2","RJ078",88.22,24.68,"Nawabganj","Shibganj",23.57,0.3,2009,2018
1548,"DH113_0","DH113",90.67,24.16,"Gazipur","Kapasia",14,0.46,1979,1988
1549,"MY057_1_1","MY057",90.26,24.52,"Mymensingh","Fulbaria",16,0.46,1998,2007
1550,"CM032_1","CM032",90.83,23.35,"Chandpur","Kachua",5.52,0.46,1976,1985
1551,"RJ098_1_1","RJ098",88.78,24.33,"Rajshahi","Charghat",18.56,0.45,1992,2001
1552,"JA009_1","JA009",89.97,25.15,"Sherpur","Sreebardi",20.34,0.46,2008,2017
1553,"RA-26_2_2","RA-26",89.18,26.03,"Lalmonirhat","Kaliganj",37.65,0.56,2009,2018
1554,"CT013_2_0","CT013",91.92,22.54,"Chittagong","Raozan",11.34,0.61,1984,1993
1555,"JE025_0","JE025",89.46,23.56,"Magura","Sreepur",8.76,0.46,1977,1986
1556,"KT048_0","KT048",88.7,23.69,"Meherpur","Meherpur Sadar",14.4,0.42,1977,1986
1557,"RJ126_2","RJ126",88.77,25.14,"Naogaon","Dhamoirhat",21.12,0.6,2009,2018
1558,"MY035_3","MY035",90.87,24.81,"Netrakona","Atpara",10.84,0.46,2009,2018
1559,"KHS02","KHS02",89.412,22.838,"Khulna","Khulna Sadar",3.45,0.46,1977,1986
1560,"KHS07","KHS07",89.454,22.886,"Khulna","Khulna Sadar",2.85,0.66,1977,1985
1561,"CM062_0","CM062",90.68,23.41,"Chandpur","Matlab",5.69,0.3,1979,1987
1562,"KTS014_1","KTS014",88.75,24.05,"Kushtia","Daulatpur",17.56,0.56,1978,1986
1563,"SY104_2_1","SY104",91.97,25.06,"Sylhet","Gowainghat",13,0.66,2008,2016
1564,"SY017_2","SY017",91.71,24.25,"Maulvibazar","Sreemangal",14.03,0.31,2010,2019
1565,"KT027_1","KT027",88.78,23.65,"Chuadanga","Damurhuda",13.21,0.46,2010,2018
1566,"DH008_4","DH008",89.91,23.89,"Manikganj","Ghior",10.4,0.46,2010,2019
1567,"KHS01","KHS01",89.583,22.779,"Khulna","Khulna Sadar",3.42,0.46,1977,1986
1568,"BO024_1","BO024",89.15,25.02,"Joypurhat","Khetlal",30.03,0.45,1979,1988
1569,"CM007_1","CM007",91.06,23.4,"Comilla","Barura",6.44,0.46,2006,2014
1570,"PA004_2","PA004",89.65,24.2,"Sirajganj","Shahjadpur",11.8,0.45,2010,2018
1571,"SY034_2","SY034",92.13,24.44,"Maulvibazar","Kulaura",17.57,0.28,2007,2015
1572,"DI006_2_1","DI006",88.61,26.37,"Panchagarh","Panchagarh Sadar",70.58,0.67,2005,2014
1573,"JA004_3","JA004",90.24,25.11,"Sherpur","Nalitabari",17.36,0.46,2010,2018
1574,"KT013_0","KT013",88.66,23.68,"Meherpur","Meherpur Sadar",15.27,0.46,1975,1983
1575,"FA031_1","FA031",90.03,23.2,"Madaripur","Rajoir",5.82,0.53,2010,2019
1576,"BA029_1","BA029",90.75,22.63,"Bhola","Daulatkhan",3.29,0.46,1980,1988
1577,"KT028_1","KT028",88.65,23.83,"Meherpur","Meherpur Sadar",15.42,0.45,2010,2018
1578,"CM063_1","CM063",91.18,23.96,"Brahamanbaria","Brahmanbaria Sadar",6.35,0.61,1980,1988
1579,"DH119_0","DH119",90.62,24.13,"Gazipur","Kapasia",16,0.61,1980,1988
1580,"CT052_1_1","CT052",91.99,21.47,"Cox'Sbazar","Cox'S Bazar Sadar",4.27,0.71,2003,2011
1581,"SY094_1","SY094",91.3,24.54,"Habiganj","Ajmiriganj",8.13,0.46,1976,1984
1582,"RJ032_2","RJ032",88.98,24.47,"Natore","Natore Sadar",14.89,0.32,2010,2018
1583,"KT012_1","KT012",88.63,23.63,"Meherpur","Meherpur Sadar",15.22,0.46,2010,2018
1584,"DH080_2","DH080",90.56,23.86,"Narayanganj","Rupganj",7.53,0.61,2010,2018
1585,"BA017_2","BA017",90.04,22.84,"Barisal","Banaripara",2.89,0.61,2010,2018
1586,"NA020_1_0","NA020",90.98,22.82,"Noakhali","Noakhali Sadar (Sudharam)",5.98,0.61,1978,1986
1587,"RA-27_0","RA-27",89.28,25.79,"Rangpur","Rangpur Sadar",32.7,0.32,1967,1975
1588,"CT039_0","CT039",91.71,22.76,"Chittagong","Fatikchhari",10.22,0.53,1978,1986
1589,"KT053_0","KT053",88.83,24.1,"Kushtia","Daulatpur",17.14,0.61,1982,1990
1590,"BA030_0","BA030",90.01,22.45,"Pirojpur","Bhandaria",2.62,0.46,1981,1989
1591,"NA006_1_0","NA006",91.07,22.95,"Noakhali","Begumganj",4.28,0.46,1973,1981
1592,"CT023_0","CT023",92.03,22.27,"Chittagong","Patiya",6.59,0.38,1976,1984
1593,"CT040_2_1","CT040",91.5,22.49,"Chittagong","Sandwip",3.67,0.3,2000,2008
1594,"CM054_1_1","CM054",91.02,23.83,"Brahamanbaria","Nabinagar",7.65,0.46,2003,2011
1595,"PA052_0","PA052",89.3,24.22,"Pabna","Chatmohar",11.5,0.45,1979,1987
1596,"DH120_2_1","DH120",90.52,23.86,"Narayanganj","Rupganj",8.75,0.46,2010,2018
1597,"MY036_2","MY036",90.93,24.71,"Netrakona","Madan",10,0.82,2009,2017
1598,"PT005","PT005",89.96,22.29,"Pirojpur","Mathbaria",2.21,0.58,1998,2006
1599,"TA033_1","TA033",90.23,24.25,"Tangail","Sakhipur",16,0.46,2010,2018
1600,"CT038_1","CT038",91.8,22.24,"Chittagong","Doublemooring",4.12,0.61,2010,2018
1601,"RJ017_3_0","RJ017",88.57,24.83,"Naogaon","Niamatpur",22.97,2.62,2005,2013
1602,"CM025_1","CM025",91.2,24.08,"Brahamanbaria","Sarail",8.18,0.53,1996,2004
1603,"RJ087_2","RJ087",88.3,24.8,"Nawabganj","Gomastapur",27.89,0.45,2010,2018
1604,"SY053_2","SY053",92.05,24.79,"Sylhet","Golabganj",22.04,0.46,1975,1982
1605,"MY014_0","MY014",90.93,24.27,"Kishoreganj","Nikli",7.1,0.46,1966,1974
1606,"DH106_2","DH106",90.95,23.96,"Narsingdi","Roypura",9.64,0.9,2011,2019
1607,"CT045_1","CT045",90.869,22.956,"Chittagong","Anowara",5.94,0.46,1979,1987
1608,"DI051_2_1","DI051",88.43,26.06,"Thakurgaon","Thakurgaon Sadar",57,0.54,2010,2018
1609,"SY007_2","SY007",91.51,24.18,"Habiganj","Chunarughat",20.88,0.46,1992,2000
1610,"FA029_1_0","FA029",90.07,23.11,"Gopalganj","Kotalipara",5.09,0.55,1975,1983
1611,"JA004_1","JA004",90.24,25.11,"Sherpur","Nalitabari",17.36,0.46,1972,1979
1612,"RJ070_2","RJ070",88.88,24.38,"Rajshahi","Puthia",18.49,0.7,2011,2018
1613,"CT006_2","CT006",91.78,22.35,"Chittagong","Kotwali",4.6,0.71,2009,2017
1614,"KHS09","KHS09",89.78,22.97,"Bagerhat","Mollahat",4.36,0.46,1978,1985
1615,"BA020_1","BA020",90.71,22.32,"Bhola","Lalmohan",3.19,0.53,1979,1986
1616,"SY045_2_0","SY045",92.16,24.7,"Maulvibazar","Barlekha",12.69,0.61,1976,1983
1617,"CH005_0","CH005",92.114,22.622,"Rangamati","Rangamati Sadar",33.82,0.46,1977,1985
1618,"CT049_1","CT049",92.09,22.44,"Chittagong","Rangunia",12,0.46,1993,2000
1619,"RA-30_1","RA-30",89.1,25.87,"Nilphamari","Kishoreganj",45.75,0.67,1993,2000
1620,"BO036_1","BO036",89.03,24.95,"Joypurhat","Akkelpur",18.2,0.3,2010,2017
1621,"DI080_1","DI080",88.72,25.87,"Dinajpur","Birganj",35.38,0.3,1978,1985
1622,"CT006_1_2","CT006",91.78,22.35,"Chittagong","Kotwali",4.6,0.71,1995,2001
1623,"SY049_1_2","SY049",91.81,24.96,"Sylhet","Kotwali",9.99,0.46,1995,2001
1624,"DH113_2","DH113",90.67,24.16,"Gazipur","Kapasia",14,0.46,2012,2018
1625,"DH112_2","DH112",90.43,23.75,"Dhaka","Sabujbagh",7.27,0.6,2012,2019
1626,"MY040_2","MY040",91.14,24.74,"Netrakona","Khaliajuri",7.82,0.55,2012,2018
1627,"RJ019_1_1","RJ019",88.45,24.87,"Nawabganj","Gomastapur",28.58,0.3,1993,1999
1628,"JA012_1","JA012",90.19,24.99,"Sherpur","Nakla",18,0.46,2012,2018
1629,"SY104_1","SY104",91.97,25.06,"Sylhet","Gowainghat",13,0.66,1978,1984
1630,"MY085_1","MY085",90.45,24.43,"Mymensingh","Bhaluka",16.64,0.51,2012,2018
1631,"RJS29_1_2","RJS29",88.38,24.88,"Nawabganj","Gomastapur",44.32,0.5,1995,2001
