,"SegmentID","OldID","Longitude","Latitude","District","Upazila","RefLevel","ParaHeight","StartYear","EndYear"
1163,"BA027_0","BA027",89.98,22.37,"Pirojpur","Mathbaria",3,0.58,1979,1998
1164,"BO038","BO038",89.3,24.96,"Bogura","Shibganj",17.42,0.35,1998,2017
1165,"SY024_0","SY024",91.65,24.37,"Maulvibazar","Sreemangal",13.72,0.46,1965,1984
1166,"SY037_0","SY037",92.04,24.6,"Maulvibazar","Kulaura",16.01,0.61,1966,1985
1167,"RJ095_0","RJ095",88.6,24.43,"Rajshahi","Paba",17.85,0.45,1974,1993
1168,"PA029_0","PA029",89.19,24.03,"Pabna","Pabnasadar",14.07,0.3,1973,1992
1169,"FA007_0","FA007",89.41,23.77,"Rajbari","Pangsha",12.69,0.45,1966,1985
1170,"FA004_0","FA004",89.62,23.74,"Rajbari","Rajbari Sadar",11.43,0.2,1966,1985
1171,"RA-06_0","RA-06",88.95,26.23,"Nilphamari","Dimla",57.06,0.53,1965,1984
1172,"MY043_1","MY043",90.54,24.69,"Mymensingh","Ishwarganj",14,0.46,1995,2014
1173,"KH014_3","KH014",89.68,22.9,"Khulna","Terokhada",4.53,0.46,2000,2018
1174,"SY050_1_1","SY050",92.23,24.84,"Sylhet","Beanibazar",12.2,0.46,1986,2004
1175,"CM051_1","CM051",91.04,23.35,"Comilla","Barura",6.59,0.46,2000,2018
1176,"CM053_1_0","CM053",91.02,23.62,"Comilla","Debidwar",6.3,0.61,1977,1996
1177,"SY087_0","SY087",92.34,24.99,"Sylhet","Kanaighat",17.15,0.43,1976,1995
1178,"KH001_0","KH001",89.49,22.6,"Khulna","Dacope",3.51,0.46,1967,1986
1179,"BA021_0","BA021",89.97,22.41,"Pirojpur","Bhandaria",3.65,0.61,1979,1997
1180,"DH113_1","DH113",90.67,24.16,"Gazipur","Kapasia",14,0.46,1990,2009
1181,"CT052_1_0","CT052",91.99,21.47,"Cox'Sbazar","Cox'S Bazar Sadar",4.27,0.71,1984,2002
1182,"RJ098_1_0","RJ098",88.78,24.33,"Rajshahi","Charghat",18.56,0.45,1974,1992
1183,"CT049_2","CT049",92.09,22.44,"Chittagong","Rangunia",12,0.46,2000,2018
1184,"DI055_1","DI055",88.79,25.61,"Dinajpur","Chirirbandar",34.31,0.37,1967,1985
1185,"CT005_0","CT005",92.25,20.9,"Cox'Sbazar","Teknaf",5.56,0.46,1967,1985
1186,"KHCP05","KHCP05",89.65,22.558,"Bagerhat","Rampal",2.4,0.56,1979,1997
1187,"DI039_0","DI039",88.6,25.82,"Dinajpur","Kaharole",42.56,0.48,1967,1985
1188,"DH065_2","DH065",90.21,23.66,"Dhaka","Nawabganj",5.92,0.46,1999,2017
1189,"DH120_1","DH120",90.52,23.86,"Narayanganj","Rupganj",8.75,0.46,1980,1998
1190,"KTS014_2","KTS014",88.75,24.05,"Kushtia","Daulatpur",17.56,0.56,1994,2012
1191,"DH112_1_1","DH112",90.43,23.75,"Dhaka","Sabujbagh",7.27,0.6,1985,2003
1192,"JES15_1","JES15",89.43,23.48,"Magura","Magurasadar",8.23,0.46,1984,2002
1193,"SY027_0","SY027",91.91,24.4,"Maulvibazar","Kamalganj",19.94,0.68,1965,1983
1194,"SY009_2","SY009",91.5,24.13,"Habiganj","Chunarughat",40,0.35,1993,2011
1195,"BA017_1","BA017",90.04,22.84,"Barisal","Banaripara",2.89,0.61,1978,1996
1196,"MY054_1","MY054",90.86,25.14,"Netrakona","Kalmakanda",14,0.46,1987,2005
1197,"KHCP06","KHCP06",89.686,22.683,"Bagerhat","Bagerhat Sadar",3.6,0.38,1979,1997
1198,"RJ049_2_0","RJ049",88.47,24.97,"Naogaon","Porsha",26.11,0.46,1975,1993
1199,"KH003_0","KH003",89.7,22.77,"Bagerhat","Fakirhat",3.4,0.45,1968,1986
1200,"SY026_0","SY026",91.54,24.22,"Habiganj","Chunarughat",19.21,0.38,1966,1984
1201,"SY011_0","SY011",91.72,24.29,"Maulvibazar","Sreemangal",18.76,0.46,1966,1984
1202,"RJ140_1","RJ140",88.97,24.97,"Naogaon","Badalgachhi",20.89,0.45,1980,1998
1203,"SY072_1_1","SY072",91.8,24.68,"Sylhet","Balaganj",9.85,0.46,1995,2013
1204,"DH066_1","DH066",90.01,23.71,"Manikganj","Harirampur",8.25,0.46,2000,2018
1205,"BO011_0","BO011",89.15,24.89,"Bogra","Dhupchanchia",17.51,0.4,1973,1991
1206,"JE059_1","JE059",89.49,23.22,"Narail","Narailsadar",6.25,0.46,1999,2017
1207,"CT003_0_0","CT003",91.91,21.52,"Cox'Sbazar","Maheshkhali",9.9,0.46,1967,1985
1208,"SY072_1_0","SY072",91.8,24.68,"Sylhet","Balaganj",9.85,0.46,1975,1993
1209,"CT022_0","CT022",91.91,22.5,"Chittagong","Raozan",8.05,0.91,1977,1994
1210,"KT042_1_1","KT042",89.29,23.88,"Kushtia","Kumarkhali",12.67,0.46,1993,2011
1211,"KT004_1_1","KT004",89.3,23.81,"Kushtia","Khoksa",12.63,0.34,1977,1994
1212,"FS05_2_0","FS05",89.62,23.46,"Faridpur","Boalmari",10,0.07,1995,2012
1213,"NA028_1","NA028",91.14,22.85,"Noakhali","Noakhali Sadar (Sudharam)",4.37,0.61,1980,1998
1214,"RJ138_0","RJ138",88.75,24.85,"Naogaon","Mahadebpur",16.18,0.46,1980,1997
1215,"MY045_1_1","MY045",90.55,24.64,"Mymensingh","Ishwarganj",11.28,0.46,1986,2004
1216,"SY053_4","SY053",92.05,24.79,"Sylhet","Golabganj",22.04,0.46,1992,2010
1217,"MY007_1","MY007",90.82,24.74,"Netrakona","Kendua",10.45,0.46,1995,2012
1218,"KH018_2","KH018",89.31,22.58,"Khulna","Paikgachha",2.42,0.46,2001,2018
1219,"DH057_0","DH057",90.3,24.11,"Gazipur","Kaliakair",10,0.76,1971,1989
1220,"DH101_1_0","DH101",90.74,24.15,"Narsingdi","Manohardi",5.94,0.46,1979,1996
1221,"DI075_0","DI075",88.7,25.58,"Dinajpur","Dinajpursadar",35,0.81,1977,1994
1222,"SY025_0","SY025",91.75,24.18,"Maulvibazar","Sreemangal",10.7,0.46,1967,1984
1223,"TA033_0_1","TA033",90.23,24.25,"Tangail","Sakhipur",16,0.46,1993,2010
1224,"PA008_0","PA008",89.51,23.88,"Pabna","Sujanagar",11.82,0.45,1967,1984
1225,"RJ105_1_1","RJ105",88.42,24.45,"Rajshahi","Godagari",18.82,0.35,1993,2010
1226,"BO039_1","BO039",89.23,24.84,"Bogura","Kahaloo",16.49,0.43,2001,2018
1227,"JE030_0","JE030",89.41,23.65,"Magura","Sreepur",11,0.46,1976,1993
1228,"JE059_0","JE059",89.49,23.22,"Narail","Narailsadar",6.25,0.46,1981,1998
1229,"CH003_0","CH003",92.13,21.88,"Bandarban","Lama",27.84,0.46,1978,1995
1230,"BO032_1","BO032",89.01,25.23,"Joypurhat","Panchbibi",25.67,0.38,1995,2012
1231,"CT011_0","CT011",92,22.09,"Chittagong","Satkania",14.99,0.26,1972,1989
1232,"MY052_0","MY052",90.32,24.83,"Mymensingh","Mymensingh Sadar",16.88,0.46,1975,1992
1233,"MY082_2_0","MY082",91.01,24.32,"Kishoreganj","Nikli",7,0.61,1993,2010
1234,"RJ027_3","RJ027",88.49,24.64,"Rajshahi","Tanore",22.8,0.45,2001,2018
1235,"RJ064_1","RJ064",88.76,24.78,"Naogaon","Manda",17.38,0.45,1995,2012
1236,"RA-75_2","RA-75",89.45,25.91,"Lalmonirhat","Lalmonirhat Sadar",34.13,0.45,2001,2018
1237,"BA030_1","BA030",90.01,22.45,"Pirojpur","Bhandaria",2.62,0.46,1989,2006
1238,"RA-75_1","RA-75",89.45,25.91,"Lalmonirhat","Lalmonirhat Sadar",34.13,0.45,1978,1995
1239,"CT003_0_1","CT003",91.91,21.52,"Cox'Sbazar","Maheshkhali",9.9,0.46,1985,2002
1240,"DH068_2","DH068",90.2,23.81,"Manikganj","Singair",8.38,0.51,2001,2017
